Sender ID,Sender Title,Date,Text
1408956213,,2021-05-08 08:59:57+00:00,"في الارياف الموضوع ده منتشر جدا،  فيه راجل بيسموه الكشاف،  ده راجل غريب عن القرية بينزل على فترات متباعدة،  وخاصة القرى القريبة من أماكن أثرية،  بيدخل على بيت معين ويقول لصاحبه،  بيتك تحته أثار.. 

ويابخته اللي الكشاف يخبط على بابه ويقوله الكلمتين دول،  ويبدأ الاتفاق بين صاحب البيت والكشاف.. 

الاتفاق أ..  صاحب البيت هيتكلف بتكاليف الحفر واحضار الجهاز الكاشف عن الذهب في باطن الأرض وبعد خروج الذهب يتم التقسيم بطريقة الثلث..  ثلث لصاحب البيت،  وثلث لعمال الحفر،  وثلث للكشاف او الشيخ اللي بيجي يتعامل مع الرصد اللي بيحرس المقبرة.. 

الأتفاق ب..  ان الكشاف هيجيب الشيخ والعمال ويتحمل كل التكاليف في المقابل هياخد الثمن بعد خروج الذهب.. 

ايا كان الاتفاق فلما  بيتم جلب شيخ،  والاغلب انه بيكون بيتعامل مع الجن،  بل وأكثرهم هم من السحرة اللي بيستخدموا السحر.. 
وهتلاقي تمركزهم في محافظات زي الفيوم والجيزة ومحافظات الصعيد.. 

اولا بيحضر الكشاف ومعاه الجهاز،  وهنا بيتم التأكد ان فيه اثار تحت البيت،  او ربما يقال ان الكشاف بيكون عنده نوع من انواع الروحانيات اللي بتخليه يستشعر الاشياء القديمة.. 

المهم انه بعد التأكد سواء بواسطة الجهاز اللي بيحلل التراب ويعرف تحته اي،  او الشخص نفسه بيتم احضار الشيخ او الساحر ده.. 
ويبدأ الشخص ده يعمل بعض الامور الغريبة شويتين، وكلها أقرب الى الكفر من الايمان.. 

ومع حديثي مع أحد الاصدقاء اللي حضر شيء مشابه لمثل تلك الأمور حكالي الاتي.. 

لما جه الشيخ ولع اربع شمعات وثبتهم على الأرض،  وبعدها رسم نجمة بين الشموع وبدأ يتمتم بكلمات غريبة،  مبهمة.. 
وبعد تلت دقايق تقريبا الشموع بدأت تتحرك قدامنا كلنا،  اتحركت الاربع شمعات ورا بعض في صف منتظم لحد ما دخلوا جوة غرفة في البيت وشكلوا مربع.. كل شمعة وقفت مقابلة لصاحبتها.. 

قربنا من المربع عشان نلاقي النجمة اللي اترسمت برة مرسومة جوة بين الشموع.. 

والشيخ طلب اننا نحفر مكان النجمة،  وبدأ العمال بكل همة ونشاط يضربوا الأرض،  كانوا شوية عيال فيهم صحة ما شاء الله،  لك أن تتخيل اتناشر ساعة متواصلة من الحفر قدروا يحفروا عمق ٨ متر..  
كل ده والشيخ واقف على راس الحفرة بيهمس لنفسه،  او يمكن بيكلم حد جمبه الله أعلم.. 
وبعدها لقيته بيزعق ويقول ""كفاية الرصد صحي"" 
انا مفهمتش منه حاجة بس لقيت العمال فورا طلعوا من الحفرة وبعدوا في خشوع تام.. 

همست لعامل منهم سألته يعني اي رصد لقيته بيقولي ""الرصد ده من المردة او الغيلان من الجن وده مسئول عن حراسة كنوز الأرض ولازم نبعد وقت تعامل الشيخ معاهم والا هيحصلنا ضرر كبير"" 

وقتها كان الشيخ عمال يزوم زي الحيوان وهو باصص للحفرة،  شوية وحسينا بهزة بسيطة وانتهى كل شيء.. 
وقالنا انزلوا افتحوا الباب.. ونزل اتنين من العمال وفتحوا الباب،  وطلعت المقبرة خير كبير جدا،  خير يقدر بعشرين مليون دولار.. 

.......... 
اللي عايز اقوله بقا واللي مرتبط بكتاب علوم الجان هو ان الكتاب تحدث عن الرصد. 

وقال انهم من الغيلان او المردة،  وانه كان بيتم تسخيرهم من قبل الكهنة لحراسة الكنوز بواسطة سحر قوي،  سحر عظيم قادر يخلي الجن مقيد لمئات السنين عشان يحرس مقبرة ملك او بعض الكنوز.. 

وفي الحديث عن المصريين القدماء فاحب اقولك ان الناس دي وصلت لعلوم سحرية جبارة كل سحرة العالم دلوقتي مش قادرين يتوصلوا لعشرة بالمائة فقط منها.. 
حتى ان في بعض الكتب ذكر ان اسم مصر كان مفزع لأي غازي او ملك لانه لو قرر يغزو الأرض دي هيلعن بقوة سحرها الى الأبد.. 

حتى في القرآن الكريم لما ذكر قصة سيدنا موسى عليه السلام هتلاقي ان الصراع الأكبر كان مع السحرة في يوم الزينة،  سحرة كانوا قادرين يخيلوا لجمع غفير من الناس ان الحبال هي حيات وثعابين،  بدون كاميرات فيديو او خدع بصرية بواسطة المونتاج.. وسيدنا موسى لم يتغلب على سحرهم بسحر اخر.. بل تغلب عليهم بمعجزة ربانية من رب السحر والكون كله..

ولك ان تتخيل لما سيدنا موسى اخرج يده لفرعون كأية عشان يؤمن بالله وكانت يده بيضاء للناظرين ولما القى عصاه امامه واتحولت لحية كبرى، فرعون استهزء بكل ده وقال انه سحر.. تفتكر لو انه مشافش سحر عظيم كان هيسخر من معجزات بتحصل قدامه بالسهولة دي..

واستخدم المصريين في الوقت ده الرصد بالذات لحراسة كنوزهم في باطن الأرض، وياما سمعنا عن ناس ماتت اثناء التنقيب لانه معرفش يتعامل مع الرصد كويس..

فخلي بالك عزيزي القارئ لو فكرت تنقب عن أثار كلمني ونقسم سوا لاني أفضل من يتعامل مع الرصد... 😉😁

ولو عندك حكاية مع الرصد احكيلي عنها في تعليق..
...............
الحلقة النهاردة بسيطة وللدردشة مش اكتر وان شاء الله القادم يعجبكم، دعمك مهم جدا لاستمرار المحتوى،  مجرد لايك وتعليق برأيك الجميل،  وشير بسيط في اي مكان يعجبك.. ولو اول مرة في صفحتي تقدر تعمل فولو وشاهد اولا عشان تنضم للمملكتي قريب جدا..
...........
Hosam"
1408956213,,2021-05-08 08:59:28+00:00,
1762130890,Night_Angerr,2021-05-08 01:01:20+00:00,
1762130890,Night_Angerr,2021-05-07 23:54:41+00:00,
1744663200,,2021-04-07 11:21:37+00:00,
1744663200,,2021-04-06 19:50:23+00:00,
1408956213,,2021-03-10 07:39:19+00:00,
1408956213,,2021-03-09 18:12:34+00:00,
1545080922,,2021-03-09 13:54:34+00:00,
1408956213,,2021-03-09 09:21:13+00:00,
1408956213,,2021-03-09 09:07:30+00:00,
,N/A,2021-03-09 09:03:47+00:00,
